Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2018","2018","tonnes","34413"
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2018","2018","tonnes","18143"
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2018","2018","tonnes","217192"
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2018","2018","tonnes","18510"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2018","2018","tonnes","56781"
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2018","2018","tonnes","21776"
"QC","Crops","2","Afghanistan","5510","Production","767","Cotton lint","2018","2018","tonnes","13034"
"QC","Crops","2","Afghanistan","5510","Production","329","Cottonseed","2018","2018","tonnes","25672"
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2018","2018","tonnes","6073"
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2018","2018","tonnes","2802"
"QC","Crops","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2018","2018","tonnes","63702"
"QC","Crops","2","Afghanistan","5510","Production","541","Fruit, stone nes","2018","2018","tonnes","52171"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2018","2018","tonnes","984081"
"QC","Crops","2","Afghanistan","5510","Production","333","Linseed","2018","2018","tonnes","1486"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2018","2018","tonnes","106670"
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2018","2018","tonnes","329241"
"QC","Crops","2","Afghanistan","5510","Production","79","Millet","2018","2018","tonnes","11640"
"QC","Crops","2","Afghanistan","5510","Production","234","Nuts nes","2018","2018","tonnes","1448"
"QC","Crops","2","Afghanistan","5510","Production","260","Olives","2018","2018","tonnes","7770"
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2018","2018","tonnes","150651"
"QC","Crops","2","Afghanistan","5510","Production","490","Oranges","2018","2018","tonnes","4707"
"QC","Crops","2","Afghanistan","5510","Production","534","Peaches and nectarines","2018","2018","tonnes","47935"
"QC","Crops","2","Afghanistan","5510","Production","521","Pears","2018","2018","tonnes","16351"
"QC","Crops","2","Afghanistan","5510","Production","223","Pistachios","2018","2018","tonnes","2734"
"QC","Crops","2","Afghanistan","5510","Production","536","Plums and sloes","2018","2018","tonnes","29197"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2018","2018","tonnes","615684"
"QC","Crops","2","Afghanistan","5510","Production","211","Pulses nes","2018","2018","tonnes","61778"
"QC","Crops","2","Afghanistan","5510","Production","27","Rice, paddy","2018","2018","tonnes","352177"
"QC","Crops","2","Afghanistan","5510","Production","328","Seed cotton","2018","2018","tonnes","39496"
"QC","Crops","2","Afghanistan","5510","Production","289","Sesame seed","2018","2018","tonnes","32000"
"QC","Crops","2","Afghanistan","5510","Production","723","Spices nes","2018","2018","tonnes","5"
"QC","Crops","2","Afghanistan","5510","Production","157","Sugar beet","2018","2018","tonnes","5363"
"QC","Crops","2","Afghanistan","5510","Production","156","Sugar cane","2018","2018","tonnes","25421"
"QC","Crops","2","Afghanistan","5510","Production","267","Sunflower seed","2018","2018","tonnes","387"
"QC","Crops","2","Afghanistan","5510","Production","463","Vegetables, fresh nes","2018","2018","tonnes","591350"
"QC","Crops","2","Afghanistan","5510","Production","222","Walnuts, with shell","2018","2018","tonnes","10804"
"QC","Crops","2","Afghanistan","5510","Production","567","Watermelons","2018","2018","tonnes","381238"
"QC","Crops","2","Afghanistan","5510","Production","15","Wheat","2018","2018","tonnes","3613300"
"QC","Crops","3","Albania","5510","Production","515","Apples","2018","2018","tonnes","108375"
"QC","Crops","3","Albania","5510","Production","526","Apricots","2018","2018","tonnes","5139"
"QC","Crops","3","Albania","5510","Production","44","Barley","2018","2018","tonnes","9655"
"QC","Crops","3","Albania","5510","Production","176","Beans, dry","2018","2018","tonnes","24542"
"QC","Crops","3","Albania","5510","Production","414","Beans, green","2018","2018","tonnes","11949"
"QC","Crops","3","Albania","5510","Production","181","Broad beans, horse beans, dry","2018","2018","tonnes","207"
"QC","Crops","3","Albania","5510","Production","358","Cabbages and other brassicas","2018","2018","tonnes","52857"
"QC","Crops","3","Albania","5510","Production","426","Carrots and turnips","2018","2018","tonnes","10236"
"QC","Crops","3","Albania","5510","Production","393","Cauliflowers and broccoli","2018","2018","tonnes","4648"
"QC","Crops","3","Albania","5510","Production","531","Cherries","2018","2018","tonnes","19210"
